Date,total_property_crimes,total_public_order_crimes,total_violent_crimes,total_crimes
2023-01-01,200,103,108,411
2023-01-02,200,72,55,327
2023-01-03,168,103,72,343
2023-01-04,192,125,64,381
2023-01-05,210,121,58,389
2023-01-06,204,101,62,367
2023-01-07,179,95,70,344
2023-01-08,161,69,77,307
2023-01-09,173,80,48,301
2023-01-10,204,111,63,378
2023-01-11,205,118,39,362
2023-01-12,202,117,54,373
2023-01-13,189,104,57,350
2023-01-14,180,76,78,334
2023-01-15,167,80,58,305
2023-01-16,172,79,72,323
2023-01-17,200,104,59,363
2023-01-18,175,102,56,333
2023-01-19,205,104,70,379
2023-01-20,239,122,68,429
2023-01-21,197,67,85,349
2023-01-22,150,73,64,287
2023-01-23,204,89,50,343
2023-01-24,178,107,49,334
2023-01-25,168,92,63,323
2023-01-26,193,86,57,336
2023-01-27,189,96,56,341
2023-01-28,183,74,74,331
2023-01-29,185,64,56,305
2023-01-30,197,106,64,367
2023-01-31,173,86,63,322
2023-02-01,207,104,70,381
2023-02-02,197,94,82,373
2023-02-03,174,97,82,353
2023-02-04,152,70,62,284
2023-02-05,151,68,45,264
2023-02-06,184,93,55,332
2023-02-07,160,99,60,319
2023-02-08,193,138,58,389
2023-02-09,185,117,72,374
2023-02-10,160,102,76,338
2023-02-11,169,91,68,328
2023-02-12,167,67,54,288
2023-02-13,201,101,57,359
2023-02-14,175,91,70,336
2023-02-15,193,103,77,373
2023-02-16,192,124,64,380
2023-02-17,191,110,75,376
2023-02-18,174,84,66,324
2023-02-19,181,63,58,302
2023-02-20,206,69,63,338
2023-02-21,190,86,59,335
2023-02-22,171,92,53,316
2023-02-23,190,93,52,335
2023-02-24,148,87,59,294
2023-02-25,185,78,55,318
2023-02-26,140,74,73,287
2023-02-27,190,91,63,344
2023-02-28,162,96,46,304
2023-03-01,241,116,81,438
2023-03-02,170,132,57,359
2023-03-03,188,99,56,343
2023-03-04,165,76,78,319
2023-03-05,173,60,69,302
2023-03-06,180,65,58,303
2023-03-07,167,96,59,322
2023-03-08,168,126,68,362
2023-03-09,182,106,65,353
2023-03-10,186,101,80,367
2023-03-11,205,89,50,344
