Date,apparent_temperature_max,daylight_hours,precipitation_hours
2023-08-06,90.9,14.2,0.0
2023-08-07,86.4,14.1,12.0
2023-08-08,82.0,14.1,0.0
2023-08-09,86.6,14.0,0.0
2023-08-10,86.9,14.0,6.0
2023-08-11,87.0,14.0,0.0
2023-08-12,92.3,13.9,0.0
2023-08-13,92.1,13.9,6.0
2023-08-14,94.3,13.8,0.0
2023-08-15,82.2,13.8,6.0
2023-08-16,87.3,13.8,3.0
2023-08-17,85.4,13.7,0.0
2023-08-18,82.0,13.7,3.0
2023-08-19,78.3,13.6,0.0
2023-08-20,87.1,13.6,0.0
2023-08-21,94.0,13.6,0.0
2023-08-22,79.6,13.5,0.0
2023-08-23,79.1,13.5,0.0
2023-08-24,74.0,13.4,6.0
2023-08-25,84.1,13.4,3.0
2023-08-26,89.1,13.4,3.0
2023-08-27,87.0,13.3,0.0
2023-08-28,79.1,13.3,0.0
2023-08-29,84.4,13.2,0.0
2023-08-30,87.5,13.2,6.0
2023-08-31,74.5,13.1,0.0
2023-09-01,75.9,13.1,0.0
2023-09-02,81.1,13.1,0.0
2023-09-03,94.4,13.0,0.0
2023-09-04,97.7,13.0,0.0
2023-09-05,101.4,12.9,0.0
2023-09-06,101.7,12.9,0.0
2023-09-07,103.6,12.8,0.0
2023-09-08,103.4,12.8,6.0
2023-09-09,97.6,12.8,0.0
2023-09-10,82.2,12.7,6.0
2023-09-11,88.1,12.7,9.0
2023-09-12,88.1,12.6,0.0
2023-09-13,82.9,12.6,0.0
2023-09-14,77.2,12.5,0.0
2023-09-15,66.7,12.5,0.0
2023-09-16,71.6,12.4,0.0
2023-09-17,78.0,12.4,0.0
2023-09-18,73.1,12.4,18.0
2023-09-19,69.5,12.3,0.0
2023-09-20,74.2,12.3,0.0
2023-09-21,73.1,12.2,0.0
2023-09-22,68.5,12.2,0.0
2023-09-23,57.9,12.1,15.0
2023-09-24,62.3,12.1,24.0
2023-09-25,62.5,12.0,21.0
2023-09-26,59.7,12.0,3.0
2023-09-27,61.7,11.9,0.0
2023-09-28,60.5,11.9,6.0
2023-09-29,59.0,11.9,21.0
2023-09-30,65.2,11.8,6.0
2023-10-01,76.7,11.8,0.0
2023-10-02,78.7,11.7,0.0
2023-10-03,86.1,11.7,0.0
2023-10-04,92.1,11.6,0.0
