date,apparent_temperature_max,daylight_duration,precipitation_hours
2023-05-03 01:00:00-04:00,50.89743,50518.97,0.0
2023-05-04 01:00:00-04:00,53.09024,50655.44,3.0
2023-05-05 01:00:00-04:00,60.21152,50790.703,0.0
2023-05-06 01:00:00-04:00,71.07495,50924.645,0.0
2023-05-07 01:00:00-04:00,75.5387,51057.125,0.0
2023-05-08 01:00:00-04:00,74.60751,51188.02,0.0
2023-05-09 01:00:00-04:00,69.35272,51317.19,0.0
2023-05-10 01:00:00-04:00,69.846695,51444.516,0.0
2023-05-11 01:00:00-04:00,78.3125,51569.84,0.0
2023-05-12 01:00:00-04:00,87.13458,51693.04,0.0
2023-05-13 01:00:00-04:00,85.278854,51813.953,0.0
2023-05-14 01:00:00-04:00,73.00057,51932.45,0.0
2023-05-15 01:00:00-04:00,69.99339,52048.38,0.0
2023-05-16 01:00:00-04:00,74.55086,52161.582,0.0
2023-05-17 01:00:00-04:00,62.07585,52271.914,0.0
2023-05-18 01:00:00-04:00,60.51651,52379.562,0.0
2023-05-19 01:00:00-04:00,66.45447,52485.35,0.0
2023-05-20 01:00:00-04:00,67.742676,52589.254,12.0
2023-05-21 01:00:00-04:00,69.133545,52691.15,0.0
2023-05-22 01:00:00-04:00,77.50629,52790.938,0.0
2023-05-23 01:00:00-04:00,73.91869,52888.51,0.0
2023-05-24 01:00:00-04:00,79.777855,52983.773,3.0
2023-05-25 01:00:00-04:00,63.390144,53076.594,0.0
2023-05-26 01:00:00-04:00,69.40326,53166.87,0.0
2023-05-27 01:00:00-04:00,78.79984,53254.504,0.0
2023-05-28 01:00:00-04:00,78.99527,53339.36,0.0
2023-05-29 01:00:00-04:00,77.67514,53421.336,0.0
2023-05-30 01:00:00-04:00,72.23751,53500.316,0.0
2023-05-31 01:00:00-04:00,76.42339,53576.188,0.0
2023-06-01 01:00:00-04:00,89.93097,53648.836,0.0
2023-06-02 01:00:00-04:00,95.114365,53718.137,3.0
2023-06-03 01:00:00-04:00,68.92173,53783.98,0.0
2023-06-04 01:00:00-04:00,63.82775,53846.246,0.0
2023-06-05 01:00:00-04:00,73.470375,53904.83,0.0
2023-06-06 01:00:00-04:00,77.49399,53959.6,0.0
2023-06-07 01:00:00-04:00,69.037544,54010.633,0.0
2023-06-08 01:00:00-04:00,70.66396,54058.34,0.0
2023-06-09 01:00:00-04:00,68.75515,54102.72,3.0
2023-06-10 01:00:00-04:00,74.653824,54143.73,0.0
2023-06-11 01:00:00-04:00,84.59898,54181.344,0.0
2023-06-12 01:00:00-04:00,81.85477,54215.523,3.0
2023-06-13 01:00:00-04:00,78.996765,54246.25,0.0
2023-06-14 01:00:00-04:00,77.43952,54273.48,6.0
2023-06-15 01:00:00-04:00,76.814156,54297.2,0.0
2023-06-16 01:00:00-04:00,82.040855,54317.367,3.0
2023-06-17 01:00:00-04:00,75.33493,54333.973,0.0
2023-06-18 01:00:00-04:00,81.727585,54346.984,0.0
2023-06-19 01:00:00-04:00,84.122116,54356.38,0.0
2023-06-20 01:00:00-04:00,79.796776,54362.15,0.0
2023-06-21 01:00:00-04:00,71.00913,54364.26,0.0
2023-06-22 01:00:00-04:00,68.84834,54362.707,0.0
2023-06-23 01:00:00-04:00,74.05267,54357.473,3.0
2023-06-24 01:00:00-04:00,83.69603,54348.543,6.0
2023-06-25 01:00:00-04:00,94.1562,54335.906,0.0
2023-06-26 01:00:00-04:00,88.01454,54319.56,3.0
2023-06-27 01:00:00-04:00,82.94609,54299.41,3.0
2023-06-28 01:00:00-04:00,85.0909,54275.28,0.0
2023-06-29 01:00:00-04:00,87.297714,54247.234,0.0
2023-06-30 01:00:00-04:00,88.80167,54215.348,0.0
2023-07-01 01:00:00-04:00,86.56389,54179.695,0.0
2023-07-02 01:00:00-04:00,94.355286,54140.363,0.0
2023-07-03 01:00:00-04:00,99.3472,54097.434,0.0
2023-07-04 01:00:00-04:00,95.92072,54050.992,3.0
2023-07-05 01:00:00-04:00,101.15899,54001.117,0.0
2023-07-06 01:00:00-04:00,97.481674,53947.9,0.0
2023-07-07 01:00:00-04:00,96.99023,53891.426,0.0
2023-07-08 01:00:00-04:00,97.52556,53831.773,0.0
2023-07-09 01:00:00-04:00,90.69781,53769.043,3.0
2023-07-10 01:00:00-04:00,88.37205,53703.31,3.0
2023-07-11 01:00:00-04:00,96.8038,53634.664,0.0
2023-07-12 01:00:00-04:00,99.29852,53563.195,0.0
2023-07-13 01:00:00-04:00,96.11956,53488.98,0.0
2023-07-14 01:00:00-04:00,92.54449,53412.125,0.0
2023-07-15 01:00:00-04:00,101.47521,53332.7,0.0
2023-07-16 01:00:00-04:00,89.77072,53250.793,9.0
2023-07-17 01:00:00-04:00,101.35234,53166.207,0.0
2023-07-18 01:00:00-04:00,90.87022,53078.258,3.0
2023-07-19 01:00:00-04:00,87.755325,52987.03,0.0
2023-07-20 01:00:00-04:00,92.337296,52892.676,0.0
2023-07-21 01:00:00-04:00,92.65343,52795.34,0.0
2023-07-22 01:00:00-04:00,89.352394,52695.16,0.0
2023-07-23 01:00:00-04:00,91.64345,52592.28,0.0
2023-07-24 01:00:00-04:00,91.96502,52486.844,0.0
2023-07-25 01:00:00-04:00,94.02626,52378.98,6.0
2023-07-26 01:00:00-04:00,96.672455,52268.83,0.0
2023-07-27 01:00:00-04:00,99.71754,52156.523,3.0
2023-07-28 01:00:00-04:00,101.66298,52042.2,0.0
2023-07-29 01:00:00-04:00,98.726234,51925.973,0.0
2023-07-30 01:00:00-04:00,81.17773,51807.99,0.0
2023-07-31 01:00:00-04:00,83.9219,51688.355,0.0
2023-08-01 01:00:00-04:00,82.48901,51567.203,0.0
2023-08-02 01:00:00-04:00,81.00101,51444.652,0.0
2023-08-03 01:00:00-04:00,81.62863,51320.824,0.0
2023-08-04 01:00:00-04:00,81.044014,51195.83,0.0
2023-08-05 01:00:00-04:00,90.77466,51069.777,0.0
2023-08-06 01:00:00-04:00,90.8554,50942.414,0.0
2023-08-07 01:00:00-04:00,86.44205,50812.797,12.0
2023-08-08 01:00:00-04:00,81.98658,50681.023,0.0
2023-08-09 01:00:00-04:00,86.6003,50547.227,0.0
2023-08-10 01:00:00-04:00,86.906166,50411.55,6.0
2023-08-11 01:00:00-04:00,86.96318,50274.13,0.0
2023-08-12 01:00:00-04:00,92.3074,50135.094,0.0
2023-08-13 01:00:00-04:00,92.12228,49994.582,6.0
2023-08-14 01:00:00-04:00,94.309555,49852.723,0.0
2023-08-15 01:00:00-04:00,82.17808,49709.637,6.0
2023-08-16 01:00:00-04:00,87.2979,49565.45,3.0
2023-08-17 01:00:00-04:00,85.41481,49420.29,0.0
2023-08-18 01:00:00-04:00,81.99865,49274.26,3.0
2023-08-19 01:00:00-04:00,78.304825,49127.496,0.0
2023-08-20 01:00:00-04:00,87.12225,48980.094,0.0
2023-08-21 01:00:00-04:00,94.02179,48832.176,0.0
2023-08-22 01:00:00-04:00,79.56266,48683.848,0.0
2023-08-23 01:00:00-04:00,79.0618,48535.21,0.0
2023-08-24 01:00:00-04:00,73.96782,48386.38,6.0
2023-08-25 01:00:00-04:00,84.11967,48237.453,3.0
2023-08-26 01:00:00-04:00,89.081955,48088.152,3.0
